locn,slocn,ht,sht,prob,Ntot
565.4036937,0.575079667,2.43104624,2.126363497,0.866666667,60
705.4246847,0.475015966,1.017548192,0.946661354,0.75,60
715.2730154,0.42673985,0.817556789,0.783071339,0.933333333,60
788.1126078,0.488851562,2.081122701,3.851510852,0.916666667,60
844.3858523,0.516674542,1.39352319,1.734741084,0.933333333,60
1298.025762,0.552819147,1.716952696,2.462069301,0.966666667,60
2431.42898,0.926234644,11.53379012,9.425428759,0.766666667,60
3124.035624,1.200185799,10.71621759,8.03659624,0.9,60
3165.07564,1.125492399,9.001433444,7.094002616,0.95,60
3207.313933,1.054543216,12.31559924,9.492862172,0.85,60
4365.364944,1.268767637,5.299563129,3.739133727,0.95,60
5096.696865,1.620200557,8.444679346,7.79133685,0.916666667,60
6184.9915,3.562802395,46.0928133,32.54633394,0.816666667,60
6254.824378,2.175117984,6.409128725,4.659353972,0.983333333,60
6316.460109,2.4859139,17.6358742,22.34336022,0.933333333,60
6411.102695,1.833368981,9.792577552,8.819196205,0.95,60
6508.657672,4.254762969,17.35462941,14.43152613,0.9,60
7157.811522,2.964357066,23.67548451,25.56472322,0.75,60
7273.172158,4.146382736,6.834753428,5.124174504,0.983333333,60
7868.88545,2.432784842,16.40015732,13.84820857,0.966666667,60
8893.550991,5.509598468,47.52313259,40.22676806,0.766666667,60
8993.450555,4.762793481,33.92360945,28.56006888,0.966666667,60
9061.640362,2.608212351,14.42633086,14.59138032,0.966666667,60
9189.254959,2.855067551,13.39818103,6.882715727,0.966666667,60
9539.404236,6.847643638,48.10236869,35.49285112,0.966666667,60
9736.994195,2.909247477,11.59878259,7.050534707,0.95,60
10297.60378,3.370751111,21.88621864,16.70269716,0.966666667,60
12360.85942,2.550147644,60.98241535,28.60285461,0.983333333,60
